fqdn,recordType
kattracker-portal.ksu.edu,A
kcare.ksu.edu,A
www.kcare.ksu.edu,A
kinesiology.ksu.edu,A
www.kinesiology.ksu.edu,A
krex.ksu.edu,A
www.krex.ksu.edu,A
kstateagtoday.ksu.edu,A
www.kstateagtoday.ksu.edu,A
kstateoic.ksu.edu,A
www.kstateoic.ksu.edu,A
ksurad.ksu.edu,A
lafeneapp.ksu.edu,A
laser.ksu.edu,A
www.laser.ksu.edu,A
ldap.ksu.edu,A
ldap2.ksu.edu,A
ldap3.ksu.edu,A
library.ksu.edu,A
livehelp.ksu.edu,A
www.livehelp.ksu.edu,A
localfoods.ksu.edu,A
www.localfoods.ksu.edu,A
m.ksu.edu,A
mylafene.ksu.edu,A
mcrc.ksu.edu,A
measa.ksu.edu,A
www.measa.ksu.edu,A
mesonet.ksu.edu,A
www.mesonet.ksu.edu,A
secondary.mesonet.ksu.edu,A
offsite.mesonet.ksu.edu,A
metss-ghana.ksu.edu,A
www.metss-ghana.ksu.edu,A
military.ksu.edu,A
www.military.ksu.edu,A
militaryfamilies.ksu.edu,A
www.militaryfamilies.ksu.edu,A
mlds.ksu.edu,A
my.ksu.edu,A
www.my.ksu.edu,A
my360.ksu.edu,A
my360dev.ksu.edu,A
mycaa.ksu.edu,A
www.mycaa.ksu.edu,A
nicks.ksu.edu,A
www.nicks.ksu.edu,A
onehealthkansas.ksu.edu,A
www.onehealthkansas.ksu.edu,A
webdev.onehealthkansas.ksu.edu,A
ontrack.ksu.edu,A
www.ontrack.ksu.edu,A
optio.ksu.edu,A
www.optio.ksu.edu,A
options.ksu.edu,A
www.options.ksu.edu,A
optionsplus.ksu.edu,A
www.optionsplus.ksu.edu,A
new.optionsplus.ksu.edu,A
webdev.optionsplus.ksu.edu,A
orgsync.ksu.edu,A
www.orgsync.ksu.edu,A
orientation.ksu.edu,A
www.orientation.ksu.edu,A
papercut.ksu.edu,A
parkingservices.ksu.edu,A
www.parkingservices.ksu.edu,A
pettribute.ksu.edu,A
promks6b.ksu.edu,A
www.promks6b.ksu.edu,A
pulse.ksu.edu,A
purplenation.ksu.edu,A
www.purplenation.ksu.edu,A
ruralgrocery.ksu.edu,A
www.ruralgrocery.ksu.edu,A
servicenow.ksu.edu,A
www.servicenow.ksu.edu,A
servicedesk.ksu.edu,A
www.servicedesk.ksu.edu,A
showcase.ksu.edu,A
www.showcase.ksu.edu,A
spotlight.ksu.edu,A
www.spotlight.ksu.edu,A
soilcarboncenter.ksu.edu,A
www.soilcarboncenter.ksu.edu,A
soiltest.ksu.edu,A
speedtest.ksu.edu,A
ssua.ksu.edu,A
tribune.ksu.edu,A
www.tribune.ksu.edu,A
uachsst.ksu.edu,A
uachssuac.ksu.edu,A
uachssuau.ksu.edu,A
universitylifecafe.ksu.edu,A
www.universitylifecafe.ksu.edu,A
urco.ksu.edu,A
www.urco.ksu.edu,A
usissf.ksu.edu,A
valuechains.ksu.edu,A
www.valuechains.ksu.edu,A
vettestemail.ksu.edu,TXT
vpr.ksu.edu,A
www.vpr.ksu.edu,A
voicemail.ksu.edu,A
www.voicemail.ksu.edu,A
webcms.ksu.edu,A
www.webcms.ksu.edu,A
wiki.ksu.edu,A
wildcatlink.ksu.edu,A
wow.ksu.edu,A
youthlivestock.ksu.edu,A
www.youthlivestock.ksu.edu,A
oid-prod.portal.ksu.edu,A
db-kaned.portal.ksu.edu,A
oid-kaned.portal.ksu.edu,A
sso-kaned.portal.ksu.edu,A
kaned.portal.ksu.edu,A
alpha.portal.ksu.edu,A
beta.portal.ksu.edu,A
connect.ksu.edu,A
www.connect.ksu.edu,A
astest.ksu.edu,A
www.astest.ksu.edu,A
sitelicense.ksu.edu,A
signin.ksu.edu,A
www.signin.ksu.edu,A
alpha.signin.ksu.edu,A
casmfa.alpha.signin.ksu.edu,A
casmfa.signin.ksu.edu,A
casmfa.test.signin.ksu.edu,A
passthrough.signin.ksu.edu,A
slicu.ksu.edu,A
blogs.ksu.edu,A
www.blogs.ksu.edu,A
blog.ksu.edu,A
www.blog.ksu.edu,A
dev.blogs.ksu.edu,A
webdev.blogs.ksu.edu,A
beta.survey.ksu.edu,A
beta.surveys.ksu.edu,A
distance.ksu.edu,A
www.distance.ksu.edu,A
dev.distance.ksu.edu,A
outreach.ksu.edu,A
www.outreach.ksu.edu,A
pro.ksu.edu,A
sgaelections.ksu.edu,A
www.sgaelections.ksu.edu,A
surveys.ksu.edu,A
survey.ksu.edu,A
www.survey.ksu.edu,A
www.surveys.ksu.edu,A
test.sgaelections.ksu.edu,A
psengine2.test.ome.ksu.edu,A
teval2.ksu.edu,A
aging.ksu.edu,A
www.aging.ksu.edu,A
avianflu.ksu.edu,A
www.avianflu.ksu.edu,A
4-H.ksu.edu,A
www.4-H.ksu.edu,A
kansasprideprogram.ksu.edu,A
www.kansasprideprogram.ksu.edu,A
reports.kansasprideprogram.ksu.edu,A
4h.ksu.edu,A
www.4h.ksu.edu,A
kidsacookin.ksu.edu,A
www.kidsacookin.ksu.edu,A
kidsacooking.ksu.edu,A
www.kidsacooking.ksu.edu,A
re-aim.ksu.edu,A
www.re-aim.ksu.edu,A
remedy.ksu.edu,A
www.remedy.ksu.edu,A
researchandextension.ksu.edu,A
www.researchandextension.ksu.edu,A
rrc.ksu.edu,A
www.rrc.ksu.edu,A
tilford.ksu.edu,A
www.tilford.ksu.edu,A
wildlife.ksu.edu,A
www.wildlife.ksu.edu,A
allen.ksu.edu,A
www.allen.ksu.edu,A
anderson.ksu.edu,A
www.anderson.ksu.edu,A
atchison.ksu.edu,A
www.atchison.ksu.edu,A
barber.ksu.edu,A
www.barber.ksu.edu,A
barton.ksu.edu,A
www.barton.ksu.edu,A
bourbon.ksu.edu,A
www.bourbon.ksu.edu,A
brown.ksu.edu,A
www.brown.ksu.edu,A
butler.ksu.edu,A
www.butler.ksu.edu,A
chase.ksu.edu,A
www.chase.ksu.edu,A
chautauqua.ksu.edu,A
www.chautauqua.ksu.edu,A
cherokee.ksu.edu,A
www.cherokee.ksu.edu,A
clark.ksu.edu,A
www.clark.ksu.edu,A
coffey.ksu.edu,A
www.coffey.ksu.edu,A
comanche.ksu.edu,A
www.comanche.ksu.edu,A
cowley.ksu.edu,A
www.cowley.ksu.edu,A
crawford.ksu.edu,A
www.crawford.ksu.edu,A
decatur.ksu.edu,A
www.decatur.ksu.edu,A
dickinson.ksu.edu,A
www.dickinson.ksu.edu,A
doniphan.ksu.edu,A
www.doniphan.ksu.edu,A
douglas.ksu.edu,A
www.douglas.ksu.edu,A
edwards.ksu.edu,A
www.edwards.ksu.edu,A
elk.ksu.edu,A
www.elk.ksu.edu,A
ellis.ksu.edu,A
www.ellis.ksu.edu,A
ellsworth.ksu.edu,A
www.ellsworth.ksu.edu,A
finney.ksu.edu,A
www.finney.ksu.edu,A
ford.ksu.edu,A
www.ford.ksu.edu,A
fortriley.ksu.edu,A
www.fortriley.ksu.edu,A
franklin.ksu.edu,A
www.franklin.ksu.edu,A
geary.ksu.edu,A
www.geary.ksu.edu,A
goldenprairie.ksu.edu,A
www.goldenprairie.ksu.edu,A
gove.ksu.edu,A
www.gove.ksu.edu,A
graham.ksu.edu,A
www.graham.ksu.edu,A
grant.ksu.edu,A
www.grant.ksu.edu,A
gray.ksu.edu,A
www.gray.ksu.edu,A
greeley.ksu.edu,A
www.greeley.ksu.edu,A
greenwood.ksu.edu,A
www.greenwood.ksu.edu,A
hamilton.ksu.edu,A
www.hamilton.ksu.edu,A
harper.ksu.edu,A
www.harper.ksu.edu,A
harvey.ksu.edu,A
www.harvey.ksu.edu,A
haskell.ksu.edu,A
www.haskell.ksu.edu,A
hodgeman.ksu.edu,A
www.hodgeman.ksu.edu,A
huckboyd.ksu.edu,A
www.huckboyd.ksu.edu,A
johnson.ksu.edu,A
www.johnson.ksu.edu,A
kearny.ksu.edu,A
www.kearny.ksu.edu,A
kingman.ksu.edu,A
www.kingman.ksu.edu,A
kiowa.ksu.edu,A
www.kiowa.ksu.edu,A
labette.ksu.edu,A
www.labette.ksu.edu,A
leavenworth.ksu.edu,A
www.leavenworth.ksu.edu,A
linn.ksu.edu,A
www.linn.ksu.edu,A
logan.ksu.edu,A
www.logan.ksu.edu,A
lyon.ksu.edu,A
www.lyon.ksu.edu,A
maraisdescygnes.ksu.edu,A
www.maraisdescygnes.ksu.edu,A
marion.ksu.edu,A
www.marion.ksu.edu,A
marshall.ksu.edu,A
www.marshall.ksu.edu,A
mcpherson.ksu.edu,A
www.mcpherson.ksu.edu,A
meade.ksu.edu,A
www.meade.ksu.edu,A
miami.ksu.edu,A
www.miami.ksu.edu,A
midway.ksu.edu,A
www.midway.ksu.edu,A
montgomery.ksu.edu,A
www.montgomery.ksu.edu,A
morris.ksu.edu,A
www.morris.ksu.edu,A
morton.ksu.edu,A
www.morton.ksu.edu,A
neosho.ksu.edu,A
www.neosho.ksu.edu,A
norton.ksu.edu,A
www.norton.ksu.edu,A
osage.ksu.edu,A
www.osage.ksu.edu,A
pawnee.ksu.edu,A
www.pawnee.ksu.edu,A
pottawatomie.ksu.edu,A
www.pottawatomie.ksu.edu,A
pratt.ksu.edu,A
www.pratt.ksu.edu,A
rawlins.ksu.edu,A
www.rawlins.ksu.edu,A
reno.ksu.edu,A
www.reno.ksu.edu,A
rice.ksu.edu,A
www.rice.ksu.edu,A
riley.ksu.edu,A
www.riley.ksu.edu,A
russell.ksu.edu,A
www.russell.ksu.edu,A
scott.ksu.edu,A
www.scott.ksu.edu,A
sedgwick.ksu.edu,A
www.sedgwick.ksu.edu,A
seward.ksu.edu,A
www.seward.ksu.edu,A
shawnee.ksu.edu,A
www.shawnee.ksu.edu,A
sheridan.ksu.edu,A
www.sheridan.ksu.edu,A
smith.ksu.edu,A
www.smith.ksu.edu,A
stafford.ksu.edu,A
www.stafford.ksu.edu,A
stanton.ksu.edu,A
www.stanton.ksu.edu,A
stevens.ksu.edu,A
www.stevens.ksu.edu,A
sumner.ksu.edu,A
www.sumner.ksu.edu,A
thomas.ksu.edu,A
www.thomas.ksu.edu,A
trego.ksu.edu,A
www.trego.ksu.edu,A
wabaunsee.ksu.edu,A
www.wabaunsee.ksu.edu,A
wichita.ksu.edu,A
www.wichita.ksu.edu,A
wilson.ksu.edu,A
www.wilson.ksu.edu,A
woodson.ksu.edu,A
www.woodson.ksu.edu,A
wyandotte.ksu.edu,A
www.wyandotte.ksu.edu,A
frontierdistrict.ksu.edu,A
www.frontierdistrict.ksu.edu,A
flinthills.ksu.edu,A
www.flinthills.ksu.edu,A
southwind.ksu.edu,A
www.southwind.ksu.edu,A
logan-trego.ksu.edu,A
www.logan-trego.ksu.edu,A
centralkansas.ksu.edu,A
www.centralkansas.ksu.edu,A
ottawa.ksu.edu,A
www.ottawa.ksu.edu,A
saline.ksu.edu,A
www.saline.ksu.edu,A
meadowlark.ksu.edu,A
www.meadowlark.ksu.edu,A
jackson.ksu.edu,A
www.jackson.ksu.edu,A
jefferson.ksu.edu,A
www.jefferson.ksu.edu,A
nemaha.ksu.edu,A
www.nemaha.ksu.edu,A
phillipsrooks.ksu.edu,A
www.phillipsrooks.ksu.edu,A
phillips.ksu.edu,A
www.phillips.ksu.edu,A
rooks.ksu.edu,A
www.rooks.ksu.edu,A
postrock.ksu.edu,A
www.postrock.ksu.edu,A
jewell.ksu.edu,A
www.jewell.ksu.edu,A
lincoln.ksu.edu,A
www.lincoln.ksu.edu,A
mitchell.ksu.edu,A
www.mitchell.ksu.edu,A
osbourne.ksu.edu,A
www.osbourne.ksu.edu,A
rivervalley.ksu.edu,A
www.rivervalley.ksu.edu,A
clay.ksu.edu,A
www.clay.ksu.edu,A
cloud.ksu.edu,A
www.cloud.ksu.edu,A
republic.ksu.edu,A
www.republic.ksu.edu,A
washington.ksu.edu,A
www.washington.ksu.edu,A
sunflower.ksu.edu,A
www.sunflower.ksu.edu,A
cheyenne.ksu.edu,A
www.cheyenne.ksu.edu,A
sherman.ksu.edu,A
www.sherman.ksu.edu,A
wallace.ksu.edu,A
www.wallace.ksu.edu,A
walnutcreek.ksu.edu,A
www.walnutcreek.ksu.edu,A
lane.ksu.edu,A
www.lane.ksu.edu,A
ness.ksu.edu,A
www.ness.ksu.edu,A
rush.ksu.edu,A
www.rush.ksu.edu,A
rollingprairie.ksu.edu,A
www.rollingprairie.ksu.edu,A
twincreeks.ksu.edu,A
www.twincreeks.ksu.edu,A
wildcatdistrict.ksu.edu,A
www.wildcatdistrict.ksu.edu,A
southwest.ksu.edu,A
www.southwest.ksu.edu,A
northeast.ksu.edu,A
www.northeast.ksu.edu,A
southeast.ksu.edu,A
www.southeast.ksu.edu,A
northwest.ksu.edu,A
www.northwest.ksu.edu,A
resnet.ksu.edu,A
www.resnet.ksu.edu,A
spyware.resnet.ksu.edu,A
spybot.resnet.ksu.edu,A
wsus.resnet.ksu.edu,A
iii.ksu.edu,A
www.iii.ksu.edu,A
fs.ksu.edu,A
fs-1.ksu.edu,A
licensor.ksu.edu,A
ntp-1.ksu.edu,A
ntp-2.ksu.edu,A
ntp-3.ksu.edu,A
ntp-4.ksu.edu,A
ntp-5.ksu.edu,A
ntp-6.ksu.edu,A
chronos.ksu.edu,A
chronos-1.ksu.edu,A
chronos-2.ksu.edu,A
chronos-3.ksu.edu,A
rdate.ksu.edu,A
time.ksu.edu,A
dfs.ksu.edu,A
dfs-trend.ksu.edu,A
eforms.ksu.edu,A
test.eforms.ksu.edu,A
smtp.ksu.edu,A
mail.ksu.edu,A
mailhost.ksu.edu,A
imap.ksu.edu,A
imap4.ksu.edu,A
pop.ksu.edu,A
pop3.ksu.edu,A
listserv-old.ksu.edu,A
gw.ksu.edu,A
www.gw.ksu.edu,A
image.ksu.edu,A
virage.ksu.edu,A
epm.ksu.edu,A
anon.ftp.ksu.edu,A
ftp.ksu.edu,A
eprint.ksu.edu,A
samba.ksu.edu,A
netsignon.ksu.edu,A
n-cisco.ksu.edu,A
pp-cisco-5.ksu.edu,A
pp-wellfleet.ksu.edu,A
pp-cisco-1.ksu.edu,A
pp-cisco7000.ksu.edu,A
vms-cisco.ksu.edu,A
wh-cisco.ksu.edu,A
pp-cisco-3.ksu.edu,A
pp-cisco2900.ksu.edu,A
pp-cisco7513.ksu.edu,A
eqnx-1.ksu.edu,A
eqnx-2.ksu.edu,A
eqnx.ksu.edu,A
telnet.ksu.edu,A
kfc-cisco.ksu.edu,A
sal-cisco.ksu.edu,A
mlc-cisco.ksu.edu,A
access.ksu.edu,A
radius.ksu.edu,A
radius2.ksu.edu,A
zoom.ksu.edu,A
www.zoom.ksu.edu,A
dfswf.ksu.edu,A
filesender.ksu.edu,A
www.filesender.ksu.edu,A
analytics.ksu.edu,A
quest.ksu.edu,A
crm.ksu.edu,A
inspire.ksu.edu,A
www.inspire.ksu.edu,A
inspires.ksu.edu,A
www.inspires.ksu.edu,A
ricebbc.ksu.edu,A
dxmedia.ksu.edu,A
nessus.ksu.edu,A
_nfsv4idmapdomain.cc.ksu.edu,TXT
pri-6400.cc.ksu.edu,A
sec-6400.cc.ksu.edu,A
cbc-cluster1.cc.ksu.edu,A
cbc-cluster2.cc.ksu.edu,A
est-crashplan1.cc.ksu.edu,A
krds1.cc.ksu.edu,A
pmta.cc.ksu.edu,A
ksupmta.cc.ksu.edu,A
tsmtpdev.cc.ksu.edu,A
vpsl-appdb1.cc.ksu.edu,A
vpsl-appdb1-bip.cc.ksu.edu,A
ome-dev-txhub1.cc.ksu.edu,A
ome-dev-txhub2.cc.ksu.edu,A
ome-dev-txhub3.cc.ksu.edu,A
ome-test-txhub1.cc.ksu.edu,A
ome-test-txhub2.cc.ksu.edu,A
ome-test-txhub1-bip.cc.ksu.edu,A
ome-test-txhub2-bip.cc.ksu.edu,A
ome-test-txhub.cc.ksu.edu,A
ome-txhub1.cc.ksu.edu,A
ome-txhub2.cc.ksu.edu,A
ome-txhub1-bip.cc.ksu.edu,A
ome-txhub2-bip.cc.ksu.edu,A
ome-txhub.cc.ksu.edu,A
ome-cms1.cc.ksu.edu,A
unix.cc.ksu.edu,A
ometest.cc.ksu.edu,A
pub1.cc.ksu.edu,A
pub2.cc.ksu.edu,A
geo.cc.ksu.edu,A
est-gitlab.cc.ksu.edu,A
est-gitlab.cc.ksu.edu,MX
watcher.cc.ksu.edu,A
watcher.cc.ksu.edu,TXT
watcher.cc.ksu.edu,SPF
sm.cc.ksu.edu,A
nagios.cc.ksu.edu,A
shadow.cc.ksu.edu,A
shadow.cc.ksu.edu,TXT
shadow.cc.ksu.edu,SPF
nagios.cc.ksu.edu,A
ra.cc.ksu.edu,A
unixtest.cc.ksu.edu,A
md5test.cc.ksu.edu,A
flip.cc.ksu.edu,A
flop.cc.ksu.edu,A
help.cc.ksu.edu,A
rapier.cc.ksu.edu,A
helpdev.cc.ksu.edu,A
executor.cc.ksu.edu,A
reaper.cc.ksu.edu,A
brawl.cc.ksu.edu,A
aggressor.cc.ksu.edu,A
sat-h12k-04.cc.ksu.edu,A
frick.cc.ksu.edu,A
frack.cc.ksu.edu,A
ironfist.cc.ksu.edu,A
cacti.cc.ksu.edu,A
gavel.cc.ksu.edu,A
cudgel.cc.ksu.edu,A
carpal.cc.ksu.edu,A
tarsal.cc.ksu.edu,A
compellor.cc.ksu.edu,A
coccyx.cc.ksu.edu,A
mailhost.cc.ksu.edu,A
adsdc1.cc.ksu.edu,A
adsdc2.cc.ksu.edu,A
cnfs-web.cc.ksu.edu,A
cnfs-keas.cc.ksu.edu,A
tempest.cc.ksu.edu,A
brutus.cc.ksu.edu,A
muskie.cc.ksu.edu,A
cnfs-cns.cc.ksu.edu,A
web5.cc.ksu.edu,A
cts-http-proxy1.cc.ksu.edu,A
cts-http-proxy1-vip.cc.ksu.edu,A
cts-http-proxy2.cc.ksu.edu,A
cts-http-proxy2-vip.cc.ksu.edu,A
proxy.cc.ksu.edu,A
keas-proxy.cc.ksu.edu,A
mandible.cc.ksu.edu,A
mx0.cc.ksu.edu,A
mx4.cc.ksu.edu,A
mx4.cc.ksu.edu,TXT
mx4.cc.ksu.edu,SPF
mx5.cc.ksu.edu,A
mx5.cc.ksu.edu,TXT
mx5.cc.ksu.edu,SPF
mxz.cc.ksu.edu,A
bigip-smtp.cc.ksu.edu,A
bigip-smtp-pri.cc.ksu.edu,A
bigip-smtp-sec.cc.ksu.edu,A
smtp4.cc.ksu.edu,A
smtp4.cc.ksu.edu,TXT
smtp4.cc.ksu.edu,SPF
smtp4-vip.cc.ksu.edu,A
smtp5.cc.ksu.edu,A
smtp5.cc.ksu.edu,TXT
smtp5.cc.ksu.edu,SPF
smtp5-vip.cc.ksu.edu,A
smtp-3275df98bc8f37323263e0f52b4ad21c.cc.ksu.edu,A
smtp-27b6269486a5888d59a6dc2a2e6ccd34.cc.ksu.edu,A
smtp-83c85a4ffb3282bf5c2cbfb02fc9d9ce.cc.ksu.edu,A
smtp-a16a3f8a0224a12a1af2216ae0ebb333.cc.ksu.edu,A
smtp-d61fe5f71f150a36de0069a8b1006969.cc.ksu.edu,A
smtp-d66c01e232d45a038e47c7216074fe35.cc.ksu.edu,A
smtp-e15e4cf836a3c5237a509650be6d18d7.cc.ksu.edu,A
smtp-feca09d8910ed08e5e479c79aac3e744.cc.ksu.edu,A
smtp-a8802893de3d6dffdff57fd20aa45b86.cc.ksu.edu,A
test.listserv.cc.ksu.edu,A
test.listserv.cc.ksu.edu,TXT
test.listserv.cc.ksu.edu,SPF
test2.listserv.cc.ksu.edu,A
test2.listserv.cc.ksu.edu,TXT
test2.listserv.cc.ksu.edu,SPF
listserv.cc.ksu.edu,A
listserv.cc.ksu.edu,TXT
listserv.cc.ksu.edu,SPF
tsmtp.cc.ksu.edu,A
tsmtp.cc.ksu.edu,TXT
tsmtp.cc.ksu.edu,SPF
emaildev.cc.ksu.edu,A
portal1.cc.ksu.edu,A
netsignon.cc.ksu.edu,A
netsignon1.cc.ksu.edu,A
netsignon2.cc.ksu.edu,A
cts-mail-proxy1.cc.ksu.edu,A
cts-mail-proxy1-vip.cc.ksu.edu,A
cts-mail-proxy2.cc.ksu.edu,A
cts-mail-proxy2-vip.cc.ksu.edu,A
mail.cc.ksu.edu,A
dns-h2.cc.ksu.edu,A
dns1.cc.ksu.edu,A
dns2.cc.ksu.edu,A
dns3.cc.ksu.edu,A
dns4.cc.ksu.edu,A
dns5.cc.ksu.edu,A
dns-dc.cc.ksu.edu,A
dns-dc1.cc.ksu.edu,A
dns-dc1-vip.cc.ksu.edu,A
dns-dc2.cc.ksu.edu,A
dns-dc2-vip.cc.ksu.edu,A
ns-1-new.cc.ksu.edu,A
ns-1.cc.ksu.edu,A
ns-2.cc.ksu.edu,A
ns-5.cc.ksu.edu,A
ns-6.cc.ksu.edu,A
pri-dns1.cc.ksu.edu,A
sec-dns1.cc.ksu.edu,A
flt-dns1.cc.ksu.edu,A
pri-dns2.cc.ksu.edu,A
sec-dns2.cc.ksu.edu,A
flt-dns2.cc.ksu.edu,A
vm1.cc.ksu.edu,A
pica.cc.ksu.edu,A
pica-old.cc.ksu.edu,A
elite.cc.ksu.edu,A
nocserver5.cc.ksu.edu,A
nocserver6.cc.ksu.edu,A
wsus1.cc.ksu.edu,A
wsus2.cc.ksu.edu,A
cts-samba1.cc.ksu.edu,A
cts-samba2.cc.ksu.edu,A
samba.cc.ksu.edu,A
consult.cc.ksu.edu,A
consult1.cc.ksu.edu,A
licensor-old.cc.ksu.edu,A
