fqdn,recordType
hds-tapin-f5.housing.ksu.edu,A
hds-tester1.housing.ksu.edu,A
hds-tester2.housing.ksu.edu,A
hds-tmav.housing.ksu.edu,A
hds-ts.housing.ksu.edu,A
hds-webteam-wiki.housing.ksu.edu,A
hds-wfc-apps.housing.ksu.edu,A
hds-wfc-rmg.housing.ksu.edu,A
hds-wfc-web.housing.ksu.edu,A
hds-wfc8-db.housing.ksu.edu,A
hds-wfc8-app.housing.ksu.edu,A
hds-wfc8-arc.housing.ksu.edu,A
hdsdev-wfc8-db.housing.ksu.edu,A
hdsdev-wfc8-app.housing.ksu.edu,A
hdsdev-wfc8-arc.housing.ksu.edu,A
wfc.housing.ksu.edu,A
wfcdev.housing.ksu.edu,A
hds-vcenter.housing.ksu.edu,A
hds-vmdb.housing.ksu.edu,A
hdscm-pittman-copier.housing.ksu.edu,A
hdscsgold.housing.ksu.edu,A
hdsda-boyd.housing.ksu.edu,A
hdsda-firth.housing.ksu.edu,A
hdsda-ford.housing.ksu.edu,A
hdsda-goodnow.housing.ksu.edu,A
hdsda-haymaker.housing.ksu.edu,A
hdsda-honors.housing.ksu.edu,A
hdsda-kramer.housing.ksu.edu,A
hdsda-marlatt.housing.ksu.edu,A
hdsda-moore.housing.ksu.edu,A
hdsda-putnam.housing.ksu.edu,A
hdsda-reccenter.housing.ksu.edu,A
hdsda-smurth.housing.ksu.edu,A
hdsda-vanzile.housing.ksu.edu,A
hdsda-west.housing.ksu.edu,A
hdsem-derby.housing.ksu.edu,A
hdsem-kramer.housing.ksu.edu,A
hdsem-smurth.housing.ksu.edu,A
hdsem-vanzile.housing.ksu.edu,A
hdsimg-staff.housing.ksu.edu,A
hdskey-jt8key.housing.ksu.edu,A
hdslc-ford.housing.ksu.edu,A
hdspc-assignments.housing.ksu.edu,A
hdspc-hd1.housing.ksu.edu,A
hdspc-hd2.housing.ksu.edu,A
hdspc-hd3.housing.ksu.edu,A
hdspc-hd4.housing.ksu.edu,A
hdspc-hd5.housing.ksu.edu,A
hdspc-hd6.housing.ksu.edu,A
hdspc-hdja1.housing.ksu.edu,A
hdspc-hdja2.housing.ksu.edu,A
hdsps-accounting.housing.ksu.edu,A
hdsps-accounting-ap.housing.ksu.edu,A
hdsps-accounting-mgr.housing.ksu.edu,A
hdsps-ad-business.housing.ksu.edu,A
hdsps-admin.housing.ksu.edu,A
hdsps-arck.housing.ksu.edu,A
hdsps-arck-copier.housing.ksu.edu,A
hdsps-arh.housing.ksu.edu,A
hdsps-backroom-dm.housing.ksu.edu,A
hdsps-boyd.housing.ksu.edu,A
hdsps-boyd-ds.housing.ksu.edu,A
hdsps-cashier.housing.ksu.edu,A
hdsps-cashiers.housing.ksu.edu,A
hdsps-darc.housing.ksu.edu,A
hdsps-darc-copier.housing.ksu.edu,A
hdsps-davenport.housing.ksu.edu,A
hdsps-derby-chs.housing.ksu.edu,A
hdsps-derby-color.housing.ksu.edu,A
hdsps-derby-copier.housing.ksu.edu,A
hdsps-derby-labels.housing.ksu.edu,A
hdsps-derby-maintenance.housing.ksu.edu,A
hdsps-derby-production.housing.ksu.edu,A
hdsps-derby-purchasing.housing.ksu.edu,A
hdsps-derby-recipe.housing.ksu.edu,A
hdsps-dir-office.housing.ksu.edu,A
hdsps-foodstores-dm.housing.ksu.edu,A
hdsps-foodstores-dock.housing.ksu.edu,A
hdsps-foodstores-fs.housing.ksu.edu,A
hdsps-foodstores-office.housing.ksu.edu,A
hdsps-ford.housing.ksu.edu,A
hdsps-ford-mu.housing.ksu.edu,A
hdsps-frith.housing.ksu.edu,A
hdsps-frith-color.housing.ksu.edu,A
hdsps-goodnow.housing.ksu.edu,A
hdsps-goodnow-mu.housing.ksu.edu,A
hdsps-haymaker.housing.ksu.edu,A
hdsps-haymaker-mu.housing.ksu.edu,A
hdsps-honors-mu.housing.ksu.edu,A
hdsps-infotech.housing.ksu.edu,A
hdsps-infotech-testing.housing.ksu.edu,A
hdsps-ja-welcome.housing.ksu.edu,A
hdsps-ja-wh2.housing.ksu.edu,A
hdsps-ja5-color.housing.ksu.edu,A
hdsps-ja5-retail.housing.ksu.edu,A
hdsps-ja5-retail-mp.housing.ksu.edu,A
hdsps-ja7-color.housing.ksu.edu,A
hdsps-ja7-color-marketing.housing.ksu.edu,A
hdsps-ja7-copier.housing.ksu.edu,A
hdsps-ja8.housing.ksu.edu,A
hdsps-ja8-copier.housing.ksu.edu,A
hdsps-jafrith.housing.ksu.edu,A
hdsps-jafrith-rn.housing.ksu.edu,A
hdsps-kramer-color.housing.ksu.edu,A
hdsps-kramer-copier.housing.ksu.edu,A
hdsps-kramer-graphics.housing.ksu.edu,A
hdsps-kramer-labels.housing.ksu.edu,A
hdsps-kramer-mktg-plotter.housing.ksu.edu,A
hdsps-kramer-office-ds.housing.ksu.edu,A
hdsps-kramer-production.housing.ksu.edu,A
hdsps-kramer-qc.housing.ksu.edu,A
hdsps-mailroom.housing.ksu.edu,A
hdsps-marlatt.housing.ksu.edu,A
hdsps-marlatt-mu.housing.ksu.edu,A
hdsps-menu.housing.ksu.edu,A
hdsps-moore.housing.ksu.edu,A
hdsps-moore-mu.housing.ksu.edu,A
hdsps-personnel.housing.ksu.edu,A
hdsps-pittman.housing.ksu.edu,A
hdsps-pittman-color.housing.ksu.edu,A
hdsps-pittman-copier.housing.ksu.edu,A
hdsps-pittman-dm1.housing.ksu.edu,A
hdsps-pittman-dm2.housing.ksu.edu,A
hdsps-putnam.housing.ksu.edu,A
hdsps-reslife.housing.ksu.edu,A
hdsps-resnet.housing.ksu.edu,A
hdsps-resnet-color.housing.ksu.edu,A
hdsps-resnet-mp.housing.ksu.edu,A
hdsps-resnet-testing.housing.ksu.edu,A
hdsps-shop.housing.ksu.edu,A
hdsps-shop-color.housing.ksu.edu,A
hdsps-shop-copier.housing.ksu.edu,A
hdsps-shop-id.housing.ksu.edu,A
hdsps-shop-office.housing.ksu.edu,A
hdsps-shop-plotter.housing.ksu.edu,A
hdsps-shop-trades.housing.ksu.edu,A
hdsps-smurth.housing.ksu.edu,A
hdsps-smurth-labels.housing.ksu.edu,A
hdsps-spjobs.housing.ksu.edu,A
hdsps-spjobs-mu.housing.ksu.edu,A
hdsps-vanzile.housing.ksu.edu,A
hdsps-vanzile-ds.housing.ksu.edu,A
hdsps-vanzile-labels.housing.ksu.edu,A
hdsps-vanzile-mu.housing.ksu.edu,A
hdsps-vanzile-qc.housing.ksu.edu,A
hdsps-vanzile-qc-copier.housing.ksu.edu,A
hdsps-west.housing.ksu.edu,A
hdsps-west-mu.housing.ksu.edu,A
hdssc-derby.housing.ksu.edu,A
hdssc-frith.housing.ksu.edu,A
hdssc-gd-uhd.housing.ksu.edu,A
hdssc-honors.housing.ksu.edu,A
hdssc-kramer.housing.ksu.edu,A
hdssc-jardine5.housing.ksu.edu,A
hdssc-jardine7-1.housing.ksu.edu,A
hdssc-jardine8-1.housing.ksu.edu,A
hdssc-jardined-1.housing.ksu.edu,A
hdssc-marlatt.housing.ksu.edu,A
hdssc-moore.housing.ksu.edu,A
hdssc-pittman.housing.ksu.edu,A
hdssc-vanzile.housing.ksu.edu,A
hdstc-at1.housing.ksu.edu,A
hdstc-at2.housing.ksu.edu,A
hdstc-boyd.housing.ksu.edu,A
hdstc-darc.housing.ksu.edu,A
hdstc-derby-dn.housing.ksu.edu,A
hdstc-derby-up.housing.ksu.edu,A
hdstc-frith.housing.ksu.edu,A
hdstc-ford.housing.ksu.edu,A
hdstc-goodnow.housing.ksu.edu,A
hdstc-haymaker.housing.ksu.edu,A
hdstc-kramer-ds.housing.ksu.edu,A
hdstc-kramer-qc.housing.ksu.edu,A
hdstc-jahk.housing.ksu.edu,A
hdstc-marlatt.housing.ksu.edu,A
hdstc-moore.housing.ksu.edu,A
hdstc-putnam.housing.ksu.edu,A
hdstc-vanzile.housing.ksu.edu,A
hdstc-vanzile-ds.housing.ksu.edu,A
hdstc-west.housing.ksu.edu,A
hdstmav.housing.ksu.edu,A
hdsum-derby.housing.ksu.edu,A
hdsum-kramer.housing.ksu.edu,A
hdsum-vanzile.housing.ksu.edu,A
hdswc-denison.housing.ksu.edu,A
hdswc-plaza.housing.ksu.edu,A
hdswc-westend.housing.ksu.edu,A
hmstest.housing.ksu.edu,A
hds-csgold-db.housing.ksu.edu,A
hds-csgold-apps.housing.ksu.edu,A
hds-csgold-web.housing.ksu.edu,A
hds-idconnect.housing.ksu.edu,A
hmsweb.housing.ksu.edu,A
hmswebtest.housing.ksu.edu,A
wfcweb.housing.ksu.edu,A
intranet.housing.ksu.edu,A
mipapp.housing.ksu.edu,A
netmon.housing.ksu.edu,A
odyhms.housing.ksu.edu,A
pgp.housing.ksu.edu,A
portal.housing.ksu.edu,A
printers.housing.ksu.edu,A
production.housing.ksu.edu,A
proj.housing.ksu.edu,A
puppet.housing.ksu.edu,A
purchinv.housing.ksu.edu,A
pxe.housing.ksu.edu,A
repos.housing.ksu.edu,A
resdesk.housing.ksu.edu,A
resdesk-dev.housing.ksu.edu,A
reslife.housing.ksu.edu,A
resnet.housing.ksu.edu,A
support.housing.ksu.edu,A
test.housing.ksu.edu,A
tester1.housing.ksu.edu,A
tester2.housing.ksu.edu,A
tmav.housing.ksu.edu,A
webteam-wiki.housing.ksu.edu,A
wfc-apps.housing.ksu.edu,A
wfc-rmg.housing.ksu.edu,A
wfc-web.housing.ksu.edu,A
www.housing.ksu.edu,A
hdsps-honors.housing.ksu.edu,A
humec.ksu.edu,A
apps.test.humec.ksu.edu,A
backup.humec.ksu.edu,A
bennet.humec.ksu.edu,A
contribute.humec.ksu.edu,A
dctest1.humec.ksu.edu,A
file.humec.ksu.edu,A
filecluster.humec.ksu.edu,A
filesrv.humec.ksu.edu,A
flexlm.humec.ksu.edu,A
ftp.humec.ksu.edu,A
ftp.web.humec.ksu.edu,A
humec-web-n1.humec.ksu.edu,A
lists.humec.ksu.edu,A
pgpuni.humec.ksu.edu,A
printsrv.humec.ksu.edu,A
search.humec.ksu.edu,A
slp2.humec.ksu.edu,A
trend.humec.ksu.edu,A
virtn1.humec.ksu.edu,A
virtn2.humec.ksu.edu,A
virtn3.humec.ksu.edu,A
virtn4.humec.ksu.edu,A
virtcluster.humec.ksu.edu,A
web.humec.ksu.edu,A
webn1.humec.ksu.edu,A
wsus.humec.ksu.edu,A
www.humec.ksu.edu,A
www3.humec.ksu.edu,A
adstest.humec.ksu.edu,NS
iccm.ksu.edu,A
www.iccm.ksu.edu,A
idea.ksu.edu,A
www.idea.ksu.edu,A
test.idea.ksu.edu,A
dev.idea.ksu.edu,A
new.idea.ksu.edu,A
webdev.idea.ksu.edu,A
as.idm.ksu.edu,A
igenomics.ksu.edu,A
www.igenomics.ksu.edu,A
infotech.ksu.edu,A
www.infotech.ksu.edu,A
_nfsv4idmapdomain.iso.ksu.edu,TXT
wiki.iso.ksu.edu,A
ns02.iso.ksu.edu,A
fjord.iso.ksu.edu,A
juneau1.iso.ksu.edu,A
juneau2.iso.ksu.edu,A
savannah.iso.ksu.edu,A
dykstra-navs.iso.ksu.edu,A
eddy.iso.ksu.edu,A
parking411.iso.ksu.edu,A
edwards-navs.iso.ksu.edu,A
kokomo.iso.ksu.edu,A
oahu.iso.ksu.edu,A
claros.iso.ksu.edu,A
maui.iso.ksu.edu,A
oracle.iso.ksu.edu,A
ws052.iso.ksu.edu,A
jdoe.iso.ksu.edu,A
ws066.iso.ksu.edu,A
ws067.iso.ksu.edu,A
skyy.iso.ksu.edu,A
ridgecrest.iso.ksu.edu,A
ws070.iso.ksu.edu,A
ws073.iso.ksu.edu,A
ws083.iso.ksu.edu,A
bikini.iso.ksu.edu,A
baja.iso.ksu.edu,A
ftp.iso.ksu.edu,A
cdrom.iso.ksu.edu,A
xs01.iso.ksu.edu,A
spock.iso.ksu.edu,A
ws108.iso.ksu.edu,A
ws109.iso.ksu.edu,A
ws110.iso.ksu.edu,A
ws111.iso.ksu.edu,A
harvester.iso.ksu.edu,A
ws119.iso.ksu.edu,A
ws123.iso.ksu.edu,A
ws124.iso.ksu.edu,A
ws125.iso.ksu.edu,A
bones.iso.ksu.edu,A
ws138.iso.ksu.edu,A
rome.iso.ksu.edu,A
ws167.iso.ksu.edu,A
aurora.iso.ksu.edu,A
ws169.iso.ksu.edu,A
scotty.iso.ksu.edu,A
trinity.iso.ksu.edu,A
term-one.iso.ksu.edu,A
ws201.iso.ksu.edu,A
ws202.iso.ksu.edu,A
ws203.iso.ksu.edu,A
ws204.iso.ksu.edu,A
ws206.iso.ksu.edu,A
ws207.iso.ksu.edu,A
ws208.iso.ksu.edu,A
ws211.iso.ksu.edu,A
ws212.iso.ksu.edu,A
ws213.iso.ksu.edu,A
ws214.iso.ksu.edu,A
ws215.iso.ksu.edu,A
ws216.iso.ksu.edu,A
ws217.iso.ksu.edu,A
ws218.iso.ksu.edu,A
ws219.iso.ksu.edu,A
ws220.iso.ksu.edu,A
ws221.iso.ksu.edu,A
ws222.iso.ksu.edu,A
ws223.iso.ksu.edu,A
ws224.iso.ksu.edu,A
ws225.iso.ksu.edu,A
ws226.iso.ksu.edu,A
ws229.iso.ksu.edu,A
ws230.iso.ksu.edu,A
ws231.iso.ksu.edu,A
ws232.iso.ksu.edu,A
ws233.iso.ksu.edu,A
ws234.iso.ksu.edu,A
ws235.iso.ksu.edu,A
ws236.iso.ksu.edu,A
ws238.iso.ksu.edu,A
ws240.iso.ksu.edu,A
henry.iso.ksu.edu,A
klinger.iso.ksu.edu,A
hawkeye.iso.ksu.edu,A
radar.iso.ksu.edu,A
trapper.iso.ksu.edu,A
ws246.iso.ksu.edu,A
ws247.iso.ksu.edu,A
sevistest.facil.ksu.edu,A
jmc.ksu.edu,A
jmc.ksu.edu,MX
www.jmc.ksu.edu,A
cal.jmc.ksu.edu,A
cal.jmc.ksu.edu,MX
jmc-3rn0f6s2kgi.cal.jmc.ksu.edu,A
password.jmc.ksu.edu,A
ip1.jmc.ksu.edu,A
ip2.jmc.ksu.edu,A
ip3.jmc.ksu.edu,A
ip4.jmc.ksu.edu,A
ip5.jmc.ksu.edu,A
ip6.jmc.ksu.edu,A
ip7.jmc.ksu.edu,A
ip8.jmc.ksu.edu,A
ip9.jmc.ksu.edu,A
ip10.jmc.ksu.edu,A
ip11.jmc.ksu.edu,A
ip12.jmc.ksu.edu,A
ip13.jmc.ksu.edu,A
ip14.jmc.ksu.edu,A
ip15.jmc.ksu.edu,A
ip16.jmc.ksu.edu,A
ip17.jmc.ksu.edu,A
ip18.jmc.ksu.edu,A
ip19.jmc.ksu.edu,A
ip20.jmc.ksu.edu,A
ip21.jmc.ksu.edu,A
ip22.jmc.ksu.edu,A
ip23.jmc.ksu.edu,A
ip24.jmc.ksu.edu,A
ip25.jmc.ksu.edu,A
ip26.jmc.ksu.edu,A
ip27.jmc.ksu.edu,A
ip28.jmc.ksu.edu,A
ip29.jmc.ksu.edu,A
ip30.jmc.ksu.edu,A
ip31.jmc.ksu.edu,A
ip32.jmc.ksu.edu,A
ip33.jmc.ksu.edu,A
ip34.jmc.ksu.edu,A
ip35.jmc.ksu.edu,A
ip36.jmc.ksu.edu,A
ip37.jmc.ksu.edu,A
ip38.jmc.ksu.edu,A
ip39.jmc.ksu.edu,A
ip40.jmc.ksu.edu,A
ip41.jmc.ksu.edu,A
ip42.jmc.ksu.edu,A
ip43.jmc.ksu.edu,A
ip44.jmc.ksu.edu,A
ip45.jmc.ksu.edu,A
ip46.jmc.ksu.edu,A
ip47.jmc.ksu.edu,A
ip48.jmc.ksu.edu,A
ip49.jmc.ksu.edu,A
ip50.jmc.ksu.edu,A
ip51.jmc.ksu.edu,A
ip52.jmc.ksu.edu,A
ip53.jmc.ksu.edu,A
ip54.jmc.ksu.edu,A
ip55.jmc.ksu.edu,A
ip56.jmc.ksu.edu,A
ip57.jmc.ksu.edu,A
ip58.jmc.ksu.edu,A
ip59.jmc.ksu.edu,A
ip60.jmc.ksu.edu,A
ip61.jmc.ksu.edu,A
ip62.jmc.ksu.edu,A
ip63.jmc.ksu.edu,A
ip64.jmc.ksu.edu,A
ip65.jmc.ksu.edu,A
ip66.jmc.ksu.edu,A
ip67.jmc.ksu.edu,A
ip68.jmc.ksu.edu,A
ip69.jmc.ksu.edu,A
ip70.jmc.ksu.edu,A
ip71.jmc.ksu.edu,A
ip72.jmc.ksu.edu,A
ip73.jmc.ksu.edu,A
ip74.jmc.ksu.edu,A
ip75.jmc.ksu.edu,A
ip76.jmc.ksu.edu,A
ip77.jmc.ksu.edu,A
ip78.jmc.ksu.edu,A
ip79.jmc.ksu.edu,A
ip80.jmc.ksu.edu,A
ip81.jmc.ksu.edu,A
ip82.jmc.ksu.edu,A
ip83.jmc.ksu.edu,A
ip84.jmc.ksu.edu,A
ip85.jmc.ksu.edu,A
ip86.jmc.ksu.edu,A
ip87.jmc.ksu.edu,A
ip88.jmc.ksu.edu,A
ip89.jmc.ksu.edu,A
ip90.jmc.ksu.edu,A
ip91.jmc.ksu.edu,A
ip92.jmc.ksu.edu,A
ip93.jmc.ksu.edu,A
ip94.jmc.ksu.edu,A
ip95.jmc.ksu.edu,A
ip96.jmc.ksu.edu,A
ip97.jmc.ksu.edu,A
ip98.jmc.ksu.edu,A
ip99.jmc.ksu.edu,A
ip100.jmc.ksu.edu,A
ip101.jmc.ksu.edu,A
ip102.jmc.ksu.edu,A
ip103.jmc.ksu.edu,A
ip104.jmc.ksu.edu,A
ip105.jmc.ksu.edu,A
ip106.jmc.ksu.edu,A
ip107.jmc.ksu.edu,A
ip108.jmc.ksu.edu,A
ip109.jmc.ksu.edu,A
ip110.jmc.ksu.edu,A
ip111.jmc.ksu.edu,A
ip112.jmc.ksu.edu,A
ip113.jmc.ksu.edu,A
ip114.jmc.ksu.edu,A
ip115.jmc.ksu.edu,A
ip116.jmc.ksu.edu,A
ip117.jmc.ksu.edu,A
ip118.jmc.ksu.edu,A
ip119.jmc.ksu.edu,A
ip120.jmc.ksu.edu,A
panther.jmc.ksu.edu,A
ip121.jmc.ksu.edu,A
molly.jmc.ksu.edu,A
molly.jmc.ksu.edu,MX
ip123.jmc.ksu.edu,A
puma.jmc.ksu.edu,A
ftp.jmc.ksu.edu,A
artandcopy.jmc.ksu.edu,A
atpi.jmc.ksu.edu,A
blogs.jmc.ksu.edu,A
blogs.jmc.ksu.edu,MX
communitymedia.jmc.ksu.edu,A
cst.jmc.ksu.edu,A
faculty.jmc.ksu.edu,A
forum.jmc.ksu.edu,A
health.jmc.ksu.edu,A
huckboyd.jmc.ksu.edu,A
jaguar.jmc.ksu.edu,A
jea.jmc.ksu.edu,A
kspa.jmc.ksu.edu,A
orion.jmc.ksu.edu,A
photogs.jmc.ksu.edu,A
power.jmc.ksu.edu,A
prssa.jmc.ksu.edu,A
scigroup.jmc.ksu.edu,A
students.jmc.ksu.edu,A
tech.jmc.ksu.edu,A
update.jmc.ksu.edu,A
www.update.jmc.ksu.edu,A
web.jmc.ksu.edu,A
cougar.jmc.ksu.edu,A
courses.jmc.ksu.edu,A
mail.jmc.ksu.edu,A
cheetah.jmc.ksu.edu,A
nick.jmc.ksu.edu,A
billymac.jmc.ksu.edu,A
cedar.its.ksu.edu,A
cottonwood.its.ksu.edu,A
dashboard.its.ksu.edu,A
elm.its.ksu.edu,A
jira.its.ksu.edu,A
servicenow.its.ksu.edu,A
logtransparency.its.ksu.edu,A
monitor.its.ksu.edu,A
grafana.its.ksu.edu,A
rundeck.its.ksu.edu,A
pnsc-test.its.ksu.edu,A
pnsc.its.ksu.edu,A
itsecurity.ksu.edu,A
www.itsecurity.ksu.edu,A
nvs-kr.itsecurity.ksu.edu,A
pgp.itsecurity.ksu.edu,A
itsec-web.itsecurity.ksu.edu,A
itsec-utils1.itsecurity.ksu.edu,A
lighthouse.itsecurity.ksu.edu,A
threats.itsecurity.ksu.edu,A
iws.ksu.edu,A
www.iws.ksu.edu,A
k-statefootball.ksu.edu,A
www.k-statefootball.ksu.edu,A
as.keas.ksu.edu,A
db-pool-alpha.keas.ksu.edu,A
ldap-web.keas.ksu.edu,A
ldap-mm.keas.ksu.edu,A
ldap-sat.keas.ksu.edu,A
edir.keas.ksu.edu,A
ldap-ksol.keas.ksu.edu,A
ldap-ome.keas.ksu.edu,A
ftp.keas.ksu.edu,A
proxy.keas.ksu.edu,A
ldap-test.keas.ksu.edu,A
db-test.keas.ksu.edu,A
db-dev.keas.ksu.edu,A
ldap-dev.keas.ksu.edu,A
radius.keas.ksu.edu,A
bruins.kin.ksu.edu,A
charms.kin.ksu.edu,A
konza.ksu.edu,A
www.konza.ksu.edu,A
keep.konza.ksu.edu,A
www.keep.konza.ksu.edu,A
kpbs.konza.ksu.edu,A
www.kpbs.konza.ksu.edu,A
lterold.konza.ksu.edu,A
lter.konza.ksu.edu,A
permits.konza.ksu.edu,A
www.permits.konza.ksu.edu,A
rd.konza.ksu.edu,A
shiner.konza.ksu.edu,A
boss.konza.ksu.edu,A
gis.konza.ksu.edu,A
www2.konza.ksu.edu,A
cedar.konza.ksu.edu,A
trend.konza.ksu.edu,A
dandelion.konza.ksu.edu,A
nikon.konza.ksu.edu,A
bluestem.konza.ksu.edu,A
krecc.ksu.edu,A
dvf.krecc.ksu.edu,A
opie.krecc.ksu.edu,A
rusty.krecc.ksu.edu,A
bert.krecc.ksu.edu,A
kseden.ksu.edu,A
www.kseden.ksu.edu,A
ksre.ksu.edu,A
ksre.ksu.edu,TXT
ksre.ksu.edu,SPF
www.ksre.ksu.edu,A
accounts.ksre.ksu.edu,A
apps.ksre.ksu.edu,A
www.apps.ksre.ksu.edu,A
beefcattle.ksre.ksu.edu,A
blogs.ksre.ksu.edu,A
www.blogs.ksre.ksu.edu,A
connect.ksre.ksu.edu,A
flash.ksre.ksu.edu,A
healthyyou.ksre.ksu.edu,A
www.healthyyou.ksre.ksu.edu,A
image.ksre.ksu.edu,A
intranet.ksre.ksu.edu,A
kansassare.ksre.ksu.edu,A
www.kansassare.ksre.ksu.edu,A
kpics.ksre.ksu.edu,A
www.kpics.ksre.ksu.edu,A
ksffacde.ksre.ksu.edu,A
www.ksffacde.ksre.ksu.edu,A
ksgreenyards.ksre.ksu.edu,A
www.ksgreenyards.ksre.ksu.edu,A
oip.ksre.ksu.edu,A
www.oip.ksre.ksu.edu,A
online.ksre.ksu.edu,A
www.online.ksre.ksu.edu,A
peoplesgarden.ksre.ksu.edu,A
www.peoplesgarden.ksre.ksu.edu,A
planning.ksre.ksu.edu,A
www.planning.ksre.ksu.edu,A
qts.ksre.ksu.edu,A
reporting.ksre.ksu.edu,A
www.reporting.ksre.ksu.edu,A
search.ksre.ksu.edu,A
support.ksre.ksu.edu,A
www.support.ksre.ksu.edu,A
wms.ksre.ksu.edu,A
wowza.ksre.ksu.edu,A
bookstore.ksre.ksu.edu,A
www.bookstore.ksre.ksu.edu,A
people.ksre.ksu.edu,A
www.people.ksre.ksu.edu,A
adm1.lan.ksu.edu,A
andy.lan.ksu.edu,A
arbiter.lan.ksu.edu,A
bobo.lan.ksu.edu,A
chuck.lan.ksu.edu,A
datacenter.lan.ksu.edu,A
ehs.lan.ksu.edu,A
epmtest.lan.ksu.edu,A
esx.lan.ksu.edu,A
europa.lan.ksu.edu,A
ftp.lan.ksu.edu,A
ifolder.lan.ksu.edu,A
ifoldrest.lan.ksu.edu,A
imaging1.lan.ksu.edu,A
imaging2.lan.ksu.edu,A
kladm1.lan.ksu.edu,A
klweb01.lan.ksu.edu,A
ksnd001.lan.ksu.edu,A
ksnf100.lan.ksu.edu,A
ksnf101.lan.ksu.edu,A
ksnf102.lan.ksu.edu,A
ksnf200.lan.ksu.edu,A
ksnf200-data.lan.ksu.edu,A
ksnf200-data2.lan.ksu.edu,A
ksnf200-queue.lan.ksu.edu,A
ksnf201.lan.ksu.edu,A
ksnf202.lan.ksu.edu,A
ksnf300.lan.ksu.edu,A
ksnf301.lan.ksu.edu,A
ksnf302.lan.ksu.edu,A
ksnf300data.lan.ksu.edu,A
ksnfsftrak.lan.ksu.edu,A
ksnu101.lan.ksu.edu,A
ksnu102.lan.ksu.edu,A
ksnu100.lan.ksu.edu,A
ksnu100data.lan.ksu.edu,A
ksnwxml.lan.ksu.edu,A
kswa100.lan.ksu.edu,A
kswa450.lan.ksu.edu,A
kswa501.lan.ksu.edu,A
kswa502.lan.ksu.edu,A
kswa800.lan.ksu.edu,A
kswa900.lan.ksu.edu,A
kswa1000.lan.ksu.edu,A
kswa1300.lan.ksu.edu,A
kswa1400.lan.ksu.edu,A
kswa1600.lan.ksu.edu,A
kswamip.lan.ksu.edu,A
ksgw100.lan.ksu.edu,A
kswanoc.lan.ksu.edu,A
kswanoc1.lan.ksu.edu,A
kswanoc2.lan.ksu.edu,A
ksugw.lan.ksu.edu,A
kyle.lan.ksu.edu,A
lancsteam.lan.ksu.edu,A
lt2ka00.lan.ksu.edu,A
ltnwsup00.lan.ksu.edu,A
ltnwt00.lan.ksu.edu,A
nw6noc.lan.ksu.edu,A
nwautst.lan.ksu.edu,A
odin.lan.ksu.edu,A
pmw2kp4.lan.ksu.edu,A
rlc01bkup.lan.ksu.edu,A
rlc02bkup.lan.ksu.edu,A
santest1.lan.ksu.edu,A
slp.lan.ksu.edu,A
sus2.lan.ksu.edu,A
susupdate.lan.ksu.edu,A
ucl02.lan.ksu.edu,A
ucldata.lan.ksu.edu,A
visionary.lan.ksu.edu,A
webtest.lan.ksu.edu,A
zentst101.lan.ksu.edu,A
zentst102.lan.ksu.edu,A
zeus.lan.ksu.edu,A
listserv.ksu.edu,A
autodiscover.listserv.ksu.edu,A
msoid.listserv.ksu.edu,A
bubba.lss.ksu.edu,A
archie.lss.ksu.edu,A
mail.lss.ksu.edu,MX
phoenix.lss.ksu.edu,A
lynx.lss.ksu.edu,A
odin.lss.ksu.edu,A
mab.ksu.edu,A
www.mab.ksu.edu,A
new.mab.ksu.edu,A
webdev.mab.ksu.edu,A
maildev.cc.ksu.edu,MX
maildev.cc.ksu.edu,TXT
maildev.cc.ksu.edu,SPF
webmail.maildev.cc.ksu.edu,A
web.maildev.cc.ksu.edu,A
autodiscover.maildev.cc.ksu.edu,A
sip.maildev.cc.ksu.edu,A
lyncdiscover.maildev.cc.ksu.edu,A
_sip._tls.maildev.cc.ksu.edu,SRV
_sipfederationtls._tcp.maildev.cc.ksu.edu,SRV
selector1._domainkey.maildev.cc.ksu.edu,A
selector2._domainkey.maildev.cc.ksu.edu,A
mailtest.cc.ksu.edu,MX
mailtest.cc.ksu.edu,TXT
mailtest.cc.ksu.edu,SPF
autodiscover.mailtest.cc.ksu.edu,A
msoid.mailtest.cc.ksu.edu,A
marketscore.ksu.edu,A
media.ksu.edu,MX
media.ksu.edu,TXT
media.ksu.edu,SPF
autodiscover.media.ksu.edu,A
msoid.media.ksu.edu,A
selector1._domainkey.media.ksu.edu,A
selector2._domainkey.media.ksu.edu,A
mediarelations.ksu.edu,A
www.mediarelations.ksu.edu,A
rec-apd-sr-1117.mediasite.ksu.edu,A
rec-apd-sr-1128.mediasite.ksu.edu,A
rec-cba-bb-4061.mediasite.ksu.edu,A
rec-cba-bb-4001.mediasite.ksu.edu,A
rec-cba-bb-4046.mediasite.ksu.edu,A
rec-cba-bb-3042.mediasite.ksu.edu,A
rec-cba-bb-3122.mediasite.ksu.edu,A
rec-cba-bb-3114.mediasite.ksu.edu,A
rec-cba-bb-3082.mediasite.ksu.edu,A
rec-cba-bb-3083.mediasite.ksu.edu,A
rec-cba-bb-1088.mediasite.ksu.edu,A
rec-cba-bb-1092.mediasite.ksu.edu,A
rec-cba-bb-1070.mediasite.ksu.edu,A
rec-cba-bb-1053.mediasite.ksu.edu,A
rec-engg-due-1109.mediasite.ksu.edu,A
